,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,0.057985566556453705,0.07488887757062912,0.07476810365915298,0.026372909545898438,0.024419553577899933,0.009501057676970959,0.03305577486753464,0.16137583553791046,0.028803976252675056,0.07978985458612442,0.18333491683006287,0.0963299572467804
subj02,0.18352295458316803,0.038165196776390076,0.044710587710142136,0.0540052130818367,0.0643835961818695,0.02828693389892578,0.06072860583662987,0.15393221378326416,0.06636052578687668,0.0796860009431839,0.22042405605316162,0.027115659788250923
subj03,0.1883842647075653,0.08460132032632828,0.12324423342943192,0.08540886640548706,0.05254311487078667,0.06775212287902832,0.05904396250844002,0.09650946408510208,0.07632563263177872,0.06867846846580505,0.19766423106193542,0.014474541880190372
subj04,0.15071822702884674,0.06939291954040527,0.06138797104358673,0.03254398703575134,0.038778867572546005,0.015440101735293865,0.057915620505809784,0.11911241710186005,0.048390697687864304,0.09197632223367691,0.07341764122247696,0.047797903418540955
subj05,0.08925953507423401,0.06694457679986954,0.08827534317970276,0.03682258352637291,0.06784797459840775,0.06130403280258179,0.11333372443914413,0.19655820727348328,0.05935069918632507,0.11456644535064697,0.09997432678937912,0.1102529764175415
subj06,0.07773910462856293,0.06607440114021301,0.08318458497524261,0.020032305270433426,0.04202856495976448,0.040330126881599426,0.045302730053663254,0.06150394678115845,0.03771774470806122,0.09090279042720795,0.1718241572380066,0.040941737592220306
subj07,0.06549817323684692,0.09946626424789429,0.14535483717918396,0.07969329506158829,0.06067294254899025,0.040196266025304794,0.03929418325424194,0.03972412645816803,0.16588963568210602,0.055622465908527374,0.04659963399171829,0.012941363267600536
subj08,0.06671693921089172,0.07756360620260239,0.08652159571647644,0.04918638616800308,0.0271559190005064,0.013489157892763615,0.034293096512556076,0.07392146438360214,0.07423935830593109,0.03290026634931564,0.025821799412369728,0.01973329856991768
