,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,0.01061972191741848,0.12118524518818136,0.1706332613070746,-0.007096606708739766,-0.014191431823810274,-0.07609582766041806,-0.0385472627048872,0.51601858862075,-0.000119175889676741,0.15479946708201692,0.6305885531580611,0.33307003786253453
subj02,0.21271198620834367,0.03688748498501656,0.07881438449860302,-0.016381227280251733,0.05895760772127592,-0.06020325074862545,-0.0035255344503443736,0.6345698832353265,0.04488736723808926,0.17588773898677182,0.6442557923262789,0.0396921273729874
subj03,-0.22590724683331803,-0.03830193421809244,-0.22694496597723637,-0.2723525994262842,-0.006007290994230734,-0.254531796343174,0.1805060233346536,0.40892992940657913,-0.43219135091576855,-0.038461885540325196,0.7937597453817373,0.1797536618939044
subj04,0.1479847855383584,0.03815652290784275,0.056455266716291336,-0.3098760773329218,-0.13935979698316248,-0.30109894023345163,-0.2682383274598614,0.34361096855174283,-0.17648104824530486,-0.08878637878327003,0.15856912235530507,0.0779182758277989
subj05,0.014052242495663541,0.027662188970966888,0.02767065530703121,-0.07587170680076627,-0.020567993799027483,0.03422485732376655,0.2761816460226644,0.5549611235630427,-0.20795851611398297,0.121667024464544,0.3678502013321298,0.3757557638299256
subj06,0.09236807581131434,0.08883710729738256,0.09736586415333348,-0.07781566938720946,-0.006438936806598877,0.00432848889048376,-0.1650769145648975,0.015164105095726807,-0.0164102419933584,0.42479348476749285,0.7597219117479179,0.15082974824782974
subj07,-0.1776044306354824,-0.44113478723211563,-0.8521368987993996,-1.749858381246582,-0.02255837510965904,-0.43839273968428655,-0.03402665504346389,-0.12690318086673708,-4.014801395443722,-0.1333396544628803,0.030186825731283257,-0.024822211940009095
subj08,-0.13837324185927344,-0.08415746298488717,-0.07359283270470401,-0.026497543044338538,-0.08941827810970986,-0.2173745244120073,-0.055829827514370836,0.29744668577332767,-1.1223046770832645,-0.07571037616178618,0.17712736553487093,-0.32904124009043056
