subject,LO-1,LO-2,PHC-1,PHC-2,TO-1,TO-2,V1,V2d,V2v,V3d,V3v,VO-1,VO-2,hV4
subj01,0.034506179607604326,0.1562965737115854,0.2192177400490008,0.07915045342598545,0.26492410682371903,0.13950387978502618,0.2132589753839755,0.478627951470211,0.4936944830042034,0.40696681924318623,0.5128137773038477,0.3214247807578454,0.05809581592893959,0.32823683942372966
subj02,0.25000999454819417,0.15347906504570577,0.20397585499102305,0.1438325797335681,0.22499706730063784,0.2610941493366846,0.2545767570327194,0.15118191080941246,0.2982624913916937,0.24667470187066393,0.2972064006836846,0.20696275143578535,0.24212251478849833,0.2551451087403653
subj03,0.17558739764957684,0.34734846954766146,0.3572288619079628,0.2847973782107207,0.07682886833296595,0.09780191534542666,0.3305819316754322,0.34379594970572297,0.4592089387915077,0.1840616113758201,0.3871035655748367,0.43548416942047297,0.3676635731197446,0.35203817854537844
subj04,0.22844714644177072,0.17871175600984684,0.408448429082676,0.23264684905267116,0.40483294174333073,0.1756464293088288,0.2213423902885988,0.31475520754659486,0.3113560497978315,0.5404868122426254,0.32034238095248035,0.1384093697982601,0.26794763310799186,0.17764710158006486
subj05,0.05319524712093425,0.0963955455751482,0.4170066267721345,0.5398932969358284,0.3627375431633688,0.055291818720237335,0.19091067856651983,0.407152636685688,0.2215511254258289,0.14297255790871385,0.41538881254922605,0.11374498125808016,0.4015229724859448,0.22637799339370535
subj06,0.043676088671913846,0.022244151816165923,0.00642003667399116,0.03371974596422121,0.2581274103628659,0.053930662994493575,0.024583991875453282,0.042932886439637455,0.012067006725990065,0.044000423415279405,0.005766960138800445,0.03463624934410463,0.057189553802723586,0.03215821716514003
subj07,0.2681980982791161,0.2682248075382539,0.3382561650475252,0.371471605879909,0.18846709881477897,0.038832415392187306,0.3251438487120627,0.31237305965285433,0.35383827069828977,0.34942621955942926,0.36706773514472224,0.16678125145993208,0.23619061018908594,0.3250944721144158
subj08,0.04716647380600493,0.04437061216880132,0.06100472095602333,0.11699548330944001,0.051698571854035355,0.03526483927509905,0.026648425192037195,0.05649589330840096,0.05989951525612894,0.07729432587007289,0.05925975169342689,0.1028066049410634,0.17356623981750766,0.0816663736400334
