,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,6.574662685394287,5.274384498596191,5.892111778259277,2.4549944400787354,5.060229778289795,1.496724247932434,2.0241661071777344,1.737657904624939,2.8422093391418457,2.332158327102661,3.2059226036071777,1.3300515413284302
subj02,5.619404315948486,6.96768856048584,6.493926048278809,1.7928706407546997,4.9917826652526855,3.988898992538452,3.0370802879333496,2.43580961227417,2.3521900177001953,2.7872698307037354,3.402158260345459,3.4145400524139404
subj03,6.846078872680664,8.50967788696289,8.105549812316895,3.3176519870758057,5.098740100860596,2.2448959350585938,1.6617974042892456,1.1469703912734985,3.2279930114746094,1.9220104217529297,3.208803415298462,2.9770116806030273
subj04,5.89548397064209,7.2607831954956055,5.62784481048584,3.6186251640319824,3.615206241607666,4.270862102508545,3.6960511207580566,3.6745221614837646,4.233302593231201,4.745229244232178,3.635291576385498,3.501526355743408
subj05,7.9340901374816895,6.960434436798096,6.234725475311279,3.044187545776367,4.323676586151123,3.246328592300415,3.3323352336883545,2.012049674987793,4.5754313468933105,4.298155784606934,3.180851697921753,5.352553367614746
subj06,5.857065200805664,5.791876792907715,5.277860164642334,1.9431250095367432,4.6090569496154785,4.497175216674805,3.7003562450408936,3.9400861263275146,3.9556915760040283,3.528341054916382,2.044795036315918,3.5236737728118896
subj07,7.934173583984375,7.265241622924805,6.74629020690918,3.4733457565307617,7.157249927520752,3.2317473888397217,3.079620122909546,3.1904213428497314,4.1078596115112305,4.1128249168396,2.876262903213501,4.18892765045166
subj08,6.472901344299316,6.290089130401611,6.097300052642822,2.4492833614349365,3.592132568359375,3.368511915206909,2.853250503540039,2.568251609802246,1.6073354482650757,3.585409641265869,2.337742805480957,5.40443754196167
