,V1,V2,V3,hV4,VO-1,VO-2,PHC-1,PHC-2,LO-1,LO-2,TO-1,TO-2
subj01,0.09382668882608414,0.06885993480682373,0.0728050097823143,0.038202449679374695,0.036803312599658966,0.026244215667247772,0.02007247880101204,0.10904841125011444,0.026881538331508636,0.07491716742515564,0.16462941467761993,0.06324145942926407
subj02,0.08783270418643951,0.04852675274014473,0.08374107629060745,0.03642002120614052,0.03794701769948006,0.013353491201996803,0.03059500642120838,0.11606699973344803,0.08955682814121246,0.09132500737905502,0.1090613529086113,0.017047859728336334
subj03,0.17948795855045319,0.09021763503551483,0.17434902489185333,0.0581502690911293,0.07515454292297363,0.04102329537272453,0.05121833086013794,0.046796657145023346,0.08337114006280899,0.13212096691131592,0.07589776813983917,0.016511360183358192
subj04,0.10814493149518967,0.04524841532111168,0.08488120883703232,0.034442536532878876,0.023322444409132004,0.0280628465116024,0.08565345406532288,0.08790495246648788,0.034848738461732864,0.06597042083740234,0.10244990885257721,0.022110886871814728
subj05,0.09805017709732056,0.09626943618059158,0.08841495215892792,0.039665136486291885,0.05193520709872246,0.0648203045129776,0.14890402555465698,0.26481038331985474,0.12146690487861633,0.09658951312303543,0.08515377342700958,0.14161941409111023
subj06,0.04100250452756882,0.06957479566335678,0.047917962074279785,0.04525797441601753,0.03743090480566025,0.031800270080566406,0.05154900625348091,0.08086089789867401,0.04411131143569946,0.0717223584651947,0.10570074617862701,0.013647339306771755
subj07,0.11772036552429199,0.10355228930711746,0.11462061107158661,0.10331597179174423,0.06879526376724243,0.03228425234556198,0.054579220712184906,0.060390327125787735,0.1553657203912735,0.08317533880472183,0.017374493181705475,0.016211343929171562
subj08,0.07103949785232544,0.06774696707725525,0.0863155946135521,0.07186120748519897,0.028023142367601395,0.00970272347331047,0.021537626162171364,0.04240848496556282,0.054654091596603394,0.045953646302223206,0.01138517539948225,0.00601615896448493
